program_studi,bidang_ilmu_id
Teknik Grafika Kota Pekalongan,10
Teknik Industri,10
Teknik Industri (Kampus Kabupaten Banyumas),10
Teknik Industri (Kampus Kota Surabaya),10
Teknik Industri Agro,10
Teknik Industri dan Manajemen,10
Teknik Industri Otomotif,10
Teknik Industri Tekstil,10
Teknik Informatika,10
Teknik Informatika  (Kampus Kab. Singkawang),10
Teknik Informatika (Kampus Kab Lamongan),10
Teknik Informatika (Kampus Kab Ogan Komering Ulu),10
Teknik Informatika (Kampus Kab Sumenep),10
Teknik Informatika (Kampus Kab. Masohi),10
Teknik Informatika (Kampus Kab. Pekalongan),10
Teknik Informatika (Kampus Kabupaten Banyumas),10
Teknik Informatika (Kampus Kota Bandung),10
Teknik Informatika (Kampus Kota Jakarta),10
Teknik Informatika (Kampus Kota Malang),10
Teknik Informatika (Kampus Ponorogo),10
Teknik Informatika (Kampus Sumenep),10
Teknik Informatika (Kampus Tuban),10
Teknik Informatika dan Komputer,10
Teknik Informatika K. Jembrana,10
Teknik Informatika K. Kab. Madiun,10
Teknik Informatika Kampus Aceh Utara,10
Teknik Informatika Kampus Pacitan,10
Teknik Informatika Multimedia,10
"Teknik Informatika, Kampus Kotawaringin Timur",10
"Teknik Informatika, Kampus Lamongan",10
Teknik Infrastruktur Sipil dan Perancangan Arsitektur,10
Teknik Instalasi Listrik,10
Teknik Instrumentasi,10
Teknik Instrumentasi & Elektronika Migas,10
Teknik Instrumentasi dan Kontrol,10
Teknik Instrumentasi Kilang,10
Teknik Jalan Jembatan,10
Teknik Jalan Raya,10
Teknik Kelautan,10
Teknik Kelistrikan Kapal,10
Teknik Keselamatan,10
Teknik Keselamatan Dan Kesehatan Kerja,10
Teknik Keselamatan dan Resiko,10
Teknik Keselamatan Otomotif,10
Teknik Kimia,10
Teknik Kimia Bahan Nabati,10
Teknik Kimia Industri,10
Teknik Kimia Mineral,10
Teknik Kimia Mineral (Kampus Kab. Bone),10
Teknik Kimia Polimer,10
Teknik Kimia Produksi Bersih,10
Teknik Kimia Tekstil,10
Teknik Komputer,10
Teknik Komputer (Kampus Kab Solok Selatan),10
Teknik Komputer (Kampus Kab. Prabumulih),10
Teknik Komputer (Kampus Kota Surabaya),10
Teknik Komputer dan Jaringan,10
Teknik Komputer dan Jaringan K. Keerom,10
Teknik Komputer dan Jaringan Kampus Kabupaten Manokwari,10
Teknik Komputer Jaringan (Kampus Kab. Solok Selatan),10
Teknik Komputer Jaringan dan Media Digital,10
Teknik Komputer Kontrol,10
Teknik Konservasi Energi,10
Teknik Konstruksi,10
Teknik Konstruksi Gedung,10
Teknik Konstruksi Perkapalan,10
Teknik Konstruksi Sipil,10
Teknik KontrukSi Gedung,10
Teknik Kontruksi Jalan dan Jembatan,10
Teknik Konversi Energi,10
Teknik Lepas Pantai,10
Teknik Lingkungan,10
Teknik Listrik,10
Teknik Listrik (Kampus Kab Pelalawan),10
Teknik Listrik (Kampus Kab. Solok Selatan),10
Teknik Listrik (Kampus Kab. Sumbawa Barat),10
Teknik Listrik (Kampus Kab. Trenggalek),10
Teknik Listrik Bandar Udara,10
Teknik Listrik Bandara,10
Teknik Listrik dan Instalasi,10
Teknik Listrik Industri,10
Teknik Listrik Kampus Kabupaten Langsa,10
Teknik lndustri,10
Teknik Logistik,10
Teknik Logistik (Kampus Kabupaten Banyumas),10
Teknik Manajemen Industri,10
Teknik Manajemen Industri Pertahanan,10
Teknik Manajemen Pabrik,10
Teknik Manufaktur,10
Teknik Manufaktur Industri Agro,10
Teknik Manufaktur Kapal,10
Teknik Manufaktur Mesin,10
Teknik Material,10
Teknik Material dan Metalurgi,10
Teknik Mekanika,10
Teknik Mekanika Perkeretaapian,10
Teknik Mekanikal Bandar Udara,10
Teknik Mekatronika,10
Teknik Mekatronika (Kampus Ponorogo),10
Teknik Mekatronika Kampus PT Pembangkit Jawa-Bali,10
"Teknik Mekatronika, Kampus Karawang.",10
Teknik Mesin,10
Teknik Mesin (Kampus Kab. Demak),10
Teknik Mesin (Kampus Kab. Pekalongan,10
Teknik Mesin (Kampus Kab. Pesisir Selatan),10
Teknik Mesin (Kampus Kab. Polewali Mandar),10
Teknik Mesin (Kampus Kab. Sumbawa Barat),10
Teknik Mesin (Kampus Kab. Tanah Datar),10
Teknik Mesin (Kampus Kota Kediri),10
Teknik Mesin Alat Berat,10
Teknik Mesin dan Biosistem,10
Teknik Mesin dan Manufaktur,10
Teknik Mesin dan Manufaktur Kampus Bekasi,10
Teknik Mesin Industri,10
Teknik Mesin K. Kab Dharmasraya,10
Teknik Mesin K. Kab. Madiun,10
Teknik Mesin K. Kota Pekalongan,10
Teknik Mesin Kab. Demak,10
Teknik Mesin Kampus Kabupaten Aceh Barat,10
Teknik Mesin Kampus Langsa,10
Teknik Mesin Kapal Perang,10
Teknik Mesin Kilang,10
Teknik Mesin Otomotif,10
Teknik Mesin Perawatan dan Perbaikan Kampus Aceh Utara,10
Teknik Mesin Perikanan,10
Teknik Mesin Pertahanan,10
Teknik Mesin Pertanian,10
Teknik Mesin Produksi dan Perawatan,10
"Teknik Mesin, Kampus K. Magelang",10
"Teknik Mesin, Kampus Kotawaringin Timur",10
Teknik Metalurgi,10
Teknik Metalurgi Dan Material,10
Teknik Mineral,10
Teknik Multimedia dan Jaringan,10
Teknik Multimedia Digital,10
Teknik Nafigasi Udara,10
Teknik Navigasi Udara,10
Teknik Nuklir,10
Teknik Operasi Mesin dan Peralatan Industri,10
Teknik Operasional Mesin dan Peralatan Industri,10
Teknik Otomasi,10
Teknik Otomasi Industri,10
Teknik Otomasi Listrik Industri,10
Teknik Otomotif,10
Teknik Otomotif  (Kampus Kab. Keerom),10
Teknik Otomotif (Kampus Kab. Bojonegoro),10
Teknik Otomotif (Kampus Kab.Jepara),10
Teknik Otomotif (Kampus Kabupaten Sawahlunto),10
Teknik Otomotif Dan Alat Berat,10
Teknik Otomotif Elektronik,10
Teknik Otomotif Elektronik (Kampus Kab. Trenggalek),10
Teknik Otomotif Elektronika (Kampus Kab. Lumajang),10
Teknik Otomotif Elektronika (Kampus Kab. Pamekasan),10
Teknik Otomotif K. Kota Sawahlunto,10
Teknik Otomotif Kab. Halmahera Tengah,10
Teknik Otomotif Kampus Kab. Lahat,10
Teknik Otomotif Kampus Kabupaten Manokwari,10
Teknik Otomotif Kendaraan Tempur,10
Teknik Panas Bumi,10
Teknik Pembangkit Energi,10
Teknik Pembentukan Logam,10
Teknik Pembuatan Benang,10
Teknik Pembuatan Garmen,10
Teknik Pembuatan Kain Tenun,10
Teknik Pemeliharaan Mesin dan Peralatan Industri,10
Teknik Pemeliharaan Mesin Otomasi,10
"Teknik Pemeliharaan Mesin, Kampus Karawang.",10
Teknik Penangkapan Ikan,10
Teknik Pendingin dan Tata Udara,10
Teknik Penerbangan,10
Teknik Pengairan,10
Teknik Pengelasan,10
Teknik Pengelasan dan Fabrikasi,10
Teknik Pengelolaan dan Pemeliharaan Infrastruktur Sipil,10
Teknik Pengelolaan dan Perawatan Alat Berat,10
Teknik Pengendalian Pencemaran Lingkungan,10
Teknik Pengolahan Hasil Tambang Mineral dan Batu Bara,10
Teknik Pengolahan Limbah,10
Teknik Pengolahan Minyak dan Gas,10
Teknik Pengoperasian Alat Tambang,10
Teknik Perancangan Dan Konstruksi Kapal,10
Teknik Perancangan dan Konstruksi Mesin,10
Teknik Perancangan Irigasi Dan Penanganan Pantai,10
Teknik Perancangan Jalan Dan Jembatan,10
Teknik Perancangan Mekanik,10
Teknik Perancangan Mekanik dan Mesin,10
"Teknik Perancangan Mekanik Umum, Kampus Karawang.",10
Teknik Perangkat Lunak,10
Teknik Perawatan Alat Tambang,10
Teknik Perawatan dan Perbaikan,10
Teknik Perawatan Dan Perbaikan Gedung,10
Teknik Perawatan dan Perbaikan Mesin,10
Teknik Perawatan Mesin,10
Teknik Perawatan Mesin dan Peralatan Industri,10
Teknik Perawatan Pesawat Udara,10
Teknik Perencanaan dan Konstruksi Kapal,10
Teknik Perencanaan Irigasi Dan Rawa,10
Teknik Perencanaan Prasarana,10
Teknik Perencanaan Wilayah Dan Kota,10
Teknik Perkapalan,10
Teknik Perkeretaapian,10
Teknik Permesinan (Otomotif),10
Teknik Permesinan Kapal ,10
TEKNIK PERMINYAKAN,10
Teknik Perminyakan Dan Gas Bumi,10
Teknik Perpipaan,10
Teknik Persandian,10
Teknik Pertambangan,10
Teknik Pertambangan (Kampus Kabupaten Sawahlunto),10
Teknik Pertambangan Batubara,10
Teknik Pertambangan di K. Kota Sawahlunto,10
Teknik Pertambangan Kampus Kab.Lahat,10
Teknik Pertambangan Mineral,10
Teknik Pertanian dan Biosistem,10
Teknik Perumahan Dan Pemukiman,10
Teknik Pesawat Udara,10
Teknik Produksi Dan Proses Manufaktur,10
Teknik Produksi Furnitur,10
Teknik Produksi Migas,10
Teknik Produksi Minyak dan Gas,10
Teknik Rekayasa Infrastruktur dan Lingkungan,10
Teknik Robotika,10
Teknik Robotika dan Kecerdasan Buatan,10
Teknik Sipil,10
Teknik Sipil (Kampus Kab. Bone),10
Teknik Sipil (Kampus Kab. Kapuas Hulu),10
Teknik Sipil (Kampus Kab. Lumajang),10
Teknik Sipil (Kampus Kab. Morowali),10
Teknik Sipil (Kampus Kab. Tanah Datar),10
Teknik Sipil (Kampus Kota Bandung),10
Teknik Sipil Bangunan Gedung,10
Teknik Sipil Bangunan Transportasi,10
Teknik Sipil dan Bangunan,10
Teknik Sipil Dan Lingkungan,10
Teknik sipil Infrasrtuktur Perkotaan (Kampus Kab. Nunukan),10
Teknik Sipil Infrastruktur Perkotaan,10
Teknik Sipil K. Aceh Barat,10
Teknik Sipil K. Mataram,10
Teknik Sipil Kampus Aceh Utara,10
Teknik Sipil Kampus Kab Tojo Una-una,10
Teknik Sipil Pertahanan,10
Teknik Sistem Energi,10
Teknik Sistem Perkapalan,10
Teknik Sumber Daya Air,10
Teknik Survey dan Pemetaan,10
Teknik Tekstil,10
Teknik Telekomunikasi,10
Teknik Telekomunikasi (Kampus Jakarta),10
Teknik Telekomunikasi (Kampus Kabupaten Banyumas),10
Teknik Telekomunikasi (Kampus Kota Surabaya),10
Teknik Telekomunikasi dan Navigasi  Udara,10
Teknik Telekomunikasi dan Navigasi udara,10
