program_studi,bidang_ilmu_id
PSKGJ Pendidikan Agama Islam,6
PSKGJ Pendidikan Anak Usia Dini (PAUD),6
PSKGJ Pendidikan Bahasa Arab,6
PSKGJ Pendidikan Bahasa dan Sastra Indonesia,6
PSKGJ Pendidikan Bahasa dan Sastra Indonesia dan Daerah,6
PSKGJ Pendidikan Bahasa Indonesia,6
PSKGJ Pendidikan Bahasa Inggris,6
PSKGJ Pendidikan Bahasa Sastra Indonesia dan Daerah,6
PSKGJ Pendidikan Bimbingan dan Konseling,6
PSKGJ Pendidikan Biologi,6
PSKGJ Pendidikan Ekonomi,6
PSKGJ Pendidikan Fisika,6
PSKGJ Pendidikan Geografi,6
PSKGJ Pendidikan Guru Bahasa Inggris,6
PSKGJ Pendidikan Guru Madrasah Ibtidaiyah,6
PSKGJ Pendidikan Guru Pendidikan Anak Usia Dini,6
PSKGJ Pendidikan Guru Sekolah Dasar,6
PSKGJ Pendidikan Guru Sekolah Dasar(PGSD),6
PSKGJ Pendidikan Kewarganegaraan,6
PSKGJ Pendidikan Kimia,6
PSKGJ Pendidikan Luar Biasa,6
PSKGJ Pendidikan Luar Sekolah,6
PSKGJ Pendidikan Matematika,6
PSKGJ Pendidikan Pancasila dan Kewarganegaraan,6
PSKGJ Pendidikan Sastra Indonesia,6
PSKGJ Pendidikan Sejarah,6
PSKGJ Pendidikan Sendratasik,6
PSKGJ Pendidikan Seni Musik,6
PSKGJ Pendidikan Teknik Elektro,6
PSKGJ Pendidikan Teknik Sipil dan Perencanaan,6
Sastra Agama dan Pendidikan Bahasa Bali,6
Seni Drama Tari dan Musik,6
Seni Rupa Murni,6
Seni Tari,6
Tadris - Bahasa Inggris,6
Tadris - Ilmu Pengetahuan Alam (Konsentrasi Fisika),6
Tadris Bahasa Indonesia,6
Tadris Bahasa Inggris,6
Tadris Bahasa Inggris (Pendidikan Bahasa Inggris),6
Tadris Bahasa Inggris (TBI),6
Tadris Biologi,6
Tadris Fisika,6
Tadris Ilmu Pengetahuan Alam,6
Tadris Ilmu Pengetahuan Sosial,6
Tadris IPA,6
Tadris IPA  Biologi,6
Tadris IPA (Biologi),6
Tadris IPS,6
Tadris Kimia,6
Tadris Matematika,6
Teknologi Agroindustri,6
Teknologi Pembelajaran,6
Teknologi Pendidikan,6
